TotalLength_cm,StandardLength_cm,Weight_g
16.5,12,42.6
15.5,12.15,80
15.8,12.2,65.3
15.5,12.3,41.8
15.5,12.3,41.8
18.5,12.5,116
16,12.5,80
16,12.5,39.2
16,12.5,39.2
17.5,12.65,95.5
16.3,12.65,72.3
16.4,12.7,64.6
16.5,12.85,72.3
17,13.25,72.8
18.4,13.7,119.2
18.2,14,125.9
19,14,119
18.4,14.2,126.5
18.4,14.3,129.5
18.7,14.3,133.2
18.6,14.4,140
19,14.4,142.7
18.6,14.4,119.2
20.5,14.5,149.5
18.5,14.5,153.4
19.2,14.5,130.3
19.8,14.6,126.2
21,14.6,172.9
18.8,14.8,145.5
20,15,154.7
19,15,116.8
19.7,15,165.5
20.1,15,150.7
19.8,15.2,167
19.4,15.2,156.8
20.6,15.2,153.2
20.5,15.3,161.9
20,15.3,170
20,15.3,158.3
19.5,15.4,154
20,15.5,186.9
20.6,15.5,166.4
20.2,15.6,165.8
21,15.6,144
21.1,15.7,174.6
20.6,15.8,159.4
20.6,15.9,220
22,16,194.4
21,16.2,232
22.3,16.2,168.1
21.4,16.2,190.8
21.3,16.3,171.5
21.1,16.3,172.2
21.1,16.4,196.1
20.5,16.5,158
20.9,16.5,218.1
21.4,16.5,176
